restaurant_name,review_full,ABSA_results
Chalito_Rambla,"Ok, this place is terrible! Came here bc we’ve always walked around and it seems busy and it looked like we may like it.  Not the case at all. We arrived and put our name down for a table and were told 30 min wait, sure no problem. I went ahead and checked in again after 40 min and still nothing. Finally after 1hr we got a table. Since it was already late and we were starving we knew what we wanted and ordered right away.  We ordered a Margarita pizza and two empanadas. The margarita pizza was a Plain cheese pizza. The two empanadas: one was chicken the other capris. They both had cold centers. It was terrible! We ask for the check right after and got nothing! I had to get up and bring my credit card to the waitress to the cash register. It was just terrible service and terrible food. Spain is really disappointing me In the food department. "," [{""term"": ""service"", ""polarity"": ""negative""},
    {""term"": ""wait time"", ""polarity"": ""negative""},
    {""term"": ""food"", ""polarity"": ""negative""},
    {""term"": ""margarita pizza"", ""polarity"": ""neutral""},
    {""term"": ""empanadas"", ""polarity"": ""negative""},
    {""term"": ""atmosphere"", ""polarity"": ""none"" (not mentioned or implied in the text)},
    {""term"": ""location"", ""polarity"": ""none"" (not mentioned or implied in the text)},
    {""term"": ""price"", ""polarity"": ""none"" (not mentioned or implied in the text)}]"
Chalito_Rambla,"This place was a great surprise. The food is delicious, desserts as well. Very close to Plaza Catalunya, so its a good stop for lunch after or before shopping. They serve milanesa and other uruguayan food. Amazing and good price! Much better than tapas.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'desserts', 'polarity': 'positive'}, {'term': 'location', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'milanesa', 'polarity': 'None'}, {'term': 'uruguayan food', 'polarity': 'None'}, {'term': 'tapas', 'polarity': 'negative'}]"
Chalito_Rambla,The food is excellent.....the ambiance is very nice..the price is very affordable...LEAN is the best the crew in the restaurant shes nice and very friendly,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'ambiance', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'crew', 'polarity': 'positive'}]"
Chalito_Rambla,"The food is execellent ,affortable price for people and friendly crew , good service. And the abiance of the restaurant is good also and clean nice abiance. I will comeback again to eat here and i bring my friends to experience The food is execellent food its so delicioustasty ..","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'crew', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'abiance', 'polarity': 'positive'}, {'term': 'cleanliness', 'polarity': 'positive'}]"
Chalito_Rambla,"Mr Suarez,The food at your restaurant was absolutely amazing. However, the service was even better! Jerson and Vanessa we’re so welcoming, helpful and friendly - they are a great asset to you.We will be back!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'jerson', 'polarity': 'positive'}, {'term': 'vanessa', 'polarity': 'positive'}]"
Chalito_Rambla,"LEAN Excellent environment, friendly service, great menu choices and really decent food and at affordable prices..","[{'term': 'environment', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
Chalito_Rambla,"LEAN.Excellent environment, friendly service, great menu choices and really decent food and at affordable prices.","[{'term': 'environment', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
Chalito_Rambla,"Excellent food and lovely atmosphere! The waitress, Chechu, was really kind and friendly! Highly recommended :)","[{'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'waitress', 'polarity': 'positive'}]"
Chalito_Rambla,I visited this placed yesterday to catch a quick bite before heading for the airport. We were greeted by a young man at the entrance who told use we could choose where we sat. We sat down and spent the next 5min or so being ignored. My partner was getting annoyed even so that the 3 young lads at the next table picked up on this and gave us their menus as they had already orderd. Again we spent some time being ignored before we stopped one of the staff walking by to take our order. The good came out quite quickly and to be fair it was very good. After we had finished we again had to ask the staff to clear the table and give us a dessert menu. The lad that we hsd asked wss just finishing and he told us to ask one of his other colleagues who he pointed to. My partner went over and asked for the menu and was told that there was none and that he had had to go inside the restaurant to the counter and pick out what he wanted which was on display and then tell her.  When I went to the counter to pay the male member behind the counter was on his phone. The female member that was there had to hit him with a washcloth to get his attention that I was there. I was paying by card and he never spoke to me and just gestured with his head to ask me to remove my card. The food here is good but the staff definitely need to be given a course on good customer service. I could understand this attitude if the place was seriously under pressure and extremely busy but the place was fairly quiet.,"[{'term': 'greeting', 'polarity': 'negative'}, {'term': 'seating', 'polarity': 'neutral'}, {'term': 'wait time (at start)', 'polarity': 'negative'}, {'term': 'service (overall)', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'dessert menu', 'polarity': 'neutral'}, {'term': 'clearing table', 'polarity': 'negative'}, {'term': 'staff (individual 1)', 'polarity': 'mixed'}, {'term': 'payment process', 'polarity': 'negative'}, {'term': 'attitude of staff', 'polarity': 'negative'}, {'term': ""ambience (implied by 'quiet place')"", 'polarity': 'neutral'}]"
Chalito_Rambla,"The food here is sooooo good!! So good and tasty. Yaaaam! We had the best sangria here. We tried sangria in many places but here was the best one.  Big portions of food, good prices, very tasty. We ate here more than one time so I definitely recommend this place","[{'term': 'food', 'polarity': 'positive'}, {'term': 'sangria', 'polarity': 'positive'}, {'term': 'portion size', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
Sports_Bar_Italian_Food_C_Ample,The seafood pasta in this restaurant is the most delicious thing ever!The ingredients are really fresh and super tasty!,"[{'term': 'seafood pasta', 'polarity': 'positive'}, {'term': 'ingredients', 'polarity': 'positive'}, {'term': 'fresh', 'polarity': 'positive'}, {'term': 'tasty', 'polarity': 'positive'}]"
Sports_Bar_Italian_Food_C_Ample,thank you sports bar for the good food and good service its nice go back to eat again great job more powers,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'go back', 'polarity': 'positive'}, {'term': 'job', 'polarity': 'positive'}]"
Sports_Bar_Italian_Food_C_Ample,very recommendable restaurant if you are going to barcelona very affordable big servings of italian pasta and very delicious foods my family is very comfortable thank you guys for a wonderful experience we will come back again and again😊,"[{'term': 'restaurant', 'polarity': 'positive'}, {'term': 'location (barcelona)', 'polarity': 'positive (implied)'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'serving size', 'polarity': 'positive'}, {'term': 'italian pasta', 'polarity': 'positive'}, {'term': 'foods', 'politary': 'positive'}, {'term': 'family', 'polarity': 'positive (implied)'}, {'term': 'experience', 'polarity': 'positive'}]"
Sports_Bar_Italian_Food_C_Ample,"I always enjoyed above the average-to-outstanding tiramisu in this establishment...this was before the last take out: Goopy texture, no coffee flavor, no mascarpone richness. In a nutshell awful! Vergognatevi!!!","[{'term': 'tiramisu', 'polarity': 'negative'}]"
Sports_Bar_Italian_Food_C_Ample,"Despite the lockdown, service at the Sports Bar has been outstanding. The quality of the pizza was excellent, giving some joy to our nights. I highly recommend la pizza fritta and the Marechiaro. Fresh product and great staff.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}, {'term': 'pizza fritta', 'polarity': 'positive'}, {'term': 'marechiaro', 'polarity': 'positive'}, {'term': 'product', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]"
